Att,Disp,Min_BER,MAX_Q_FACTOR
0.36,14.75,0,0.5020398
0.36,14.95,0.000002,0.4615806
0.36,15.15,0.000001,0.4680824
0.36,15.35,1,0
0.36,15.55,1,0
0.36,15.75,1,0
0.36,15.95,1,0
0.36,16.15,1,0
0.36,16.35,1,0
0.36,16.55,1,0
0.36,16.75,1,0
0.36,16.95,1,0
0.36,17.15,1,0
0.36,17.35,1,0
0.36,17.55,1,0
0.36,17.65,1,0
0.37,12.75,0,0.5752587
0.37,12.95,0,0.5278214
0.37,13.15,0,0.5340735
0.37,13.35,0,0.5088619
0.37,13.55,0,0.536882
0.37,13.75,0,0.5347063
0.37,13.95,0,0.4944946
0.37,14.15,0,0.4975938
0.37,14.35,0.000001,0.4848111
0.37,14.55,0,0.4964352
0.37,14.75,0,0.4950031
0.37,14.95,0.000003,0.4494269
0.37,15.15,0.000002,0.4587184
0.37,15.35,1,0
0.37,15.55,1,0
0.37,15.75,1,0
0.37,15.95,1,0
0.37,16.15,1,0
0.37,16.35,1,0
0.37,16.55,1,0
0.37,16.75,1,0
0.37,16.95,1,0
0.37,17.15,1,0
0.37,17.35,1,0
0.37,17.55,1,0
0.37,17.65,1,0
0.38,12.75,0,0.5585521
0.38,12.95,0,0.5065999
0.38,13.15,0,0.5167959
0.38,13.35,0.000001,0.488143
0.38,13.55,0,0.5233717
0.38,13.75,0,0.5190861
0.38,13.95,0.000001,0.4766982
0.38,14.15,0.000001,0.4834257
0.38,14.35,0.000001,0.4690073
0.38,14.55,0.000001,0.4858034
0.38,14.75,0.000001,0.4849398
0.38,14.95,0.000007,0.4342079
0.38,15.15,0.000004,0.4465795
0.38,15.35,1,0
0.38,15.55,1,0
0.38,15.75,1,0
0.38,15.95,1,0
0.38,16.15,1,0
0.38,16.35,1,0
0.38,16.55,1,0
0.38,16.75,1,0
0.38,16.95,1,0
0.38,17.15,1,0
0.38,17.35,1,0
0.38,17.55,1,0
0.38,17.65,1,0
0.39,12.75,0,0.5363955
0.39,12.95,0.000001,0.480614
0.39,13.15,0,0.4950322
0.39,13.35,0.000002,0.4630195
0.39,13.55,0,0.5054897
0.39,13.75,0,0.4984163
0.39,13.95,0.000003,0.4546717
